Month,ATC2_desc,Scripts
1991-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18537
1991-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15636
1991-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15052
1991-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15676
1991-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14684
1991-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15309
1992-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11331
1992-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15456
1992-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17207
1992-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18451
1992-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14910
1992-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13998
1992-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15290
1992-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14168
1992-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14370
1992-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13614
1992-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12734
1992-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13904
1993-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11159
1993-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17164
1993-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,20758
1993-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18827
1993-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17963
1993-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16887
1993-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16781
1993-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16335
1993-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15708
1993-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14393
1993-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13741
1993-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16086
1994-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11552
1994-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17692
1994-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,22424
1994-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19085
1994-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19676
1994-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18518
1994-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16866
1994-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18186
1994-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16224
1994-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14963
1994-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14263
1994-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13676
1995-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13274
1995-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18450
1995-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,21950
1995-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,20591
1995-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19438
1995-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18495
1995-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17189
1995-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17720
1995-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15840
1995-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16155
1995-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14268
1995-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14076
1996-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14147
1996-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19773
1996-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,21043
1996-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,20335
1996-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17499
1996-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14573
1996-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17337
1996-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16190
1996-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15766
1996-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15261
1996-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13486
1996-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14701
1997-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12901
1997-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17862
1997-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19580
1997-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19451
1997-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17509
1997-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15901
1997-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15488
1997-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14485
1997-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14449
1997-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13434
1997-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11723
1997-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13453
1998-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10033
1998-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16612
1998-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18543
1998-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17732
1998-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16392
1998-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15683
1998-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15285
1998-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13688
1998-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14724
1998-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13212
1998-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11435
1998-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12225
1999-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9897
1999-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15634
1999-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,20733
1999-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17214
1999-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16518
1999-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15990
1999-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15180
1999-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14530
1999-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14046
1999-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12883
1999-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12109
1999-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12009
2000-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10062
2000-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16798
2000-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,19111
2000-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17906
2000-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17279
2000-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16015
2000-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15595
